No,Member,steel section,H,B,t_tf,t_w,t_bf,B_tf,slab thk.,effective slab width B_eff,reinforcements yield,diameter,EA,Distance,"Composite stage required moment, M_u,pos","Composite stage required moment, M_u,neg",Composite stage required sheaer Vu,f_ck,f_Y,3. Composite Stage (4) Flexural strength <positive moment> design moment strength,3. Composite Stage (4) Flexural strength <negative moment> design moment strength,"3. Composite Stage (5) Sheare strength, design shear strength"
1,039_25TG1,TSC-VW 2175.0x1680.0x12.0x16.0,2175,1680,12,12,16,250,200,2500,550,29,8,40,9049,21313,5558,35,355,29976.19,22303.22,10006.74
2,050_25TB1,TSC-NI/NO 975.0x600.0x9.0x12.0,975,600,9,9,12,110,200,2500,550,29,4,40,3246,3994,1401,35,355,5731.07,4166.4,3364.34
3,051_25TB1A,TSC-NI/NO 975.0x600.0x12.0x16.0,975,600,12,12,16,200,3750,5000,550,29,8,40,2924,5745,1923,35,355,7000.35,6137.28,4485.78
4,054_25TB3,TSC-NI/NO 1775.0x900.0x12.0x16.0,1775,900,12,12,16,200,3000,15000,550,29,0,40,4375,6297,2574,35,355,16675.17,6426.92,8166.42
5,079_29TG1,TSC-VW 2175.0x1680.0x12.0x16.0,2175,1680,12,12,16,250,200,2500,550,29,4,40,6731,18738,4919,30,355,29020.01,19617.69,10006.74
6,091_29TB1A,TSC-NI/NO 975.0x600.0x12.0x16.0,975,600,12,12,16,200,3750,5000,550,29,7,40,2927,5790,1933,30,355,6777.31,5797.22,4485.78
7,094_29TB3,TSC-NI/NO 1775.0x900.0x12.0x16.0,1775,900,12,12,16,200,3000,15000,550,29,8,40,4386,6733,2461,30,355,16013.8,7178.6,8166.42
8,112_212TB1A,TSC-NI/NO 975.0x600.0x9.0x9.0,975,600,9,9,9,110,200,3000,550,29,5,40,2323,3659,1237,30,355,5404.02,4094.21,3364.34
9,113_212TB2,TSC-NI/NO 775.0x600.0x12.0x12.0,775,600,12,12,12,200,3000,15000,550,29,2,40,1086,2603,974,30,355,4727.26,2964.37,3565.62
10,114_212TB2A,TSC-NI/NO 775.0x600.0x12.0x12.0,775,600,12,12,12,200,3000,2500,550,29,5,40,2229,3354,1193,30,355,5037.8,4006.02,3565.62
